StockName,StockUrl,Status,Buy At,StopLoss
Dolphin Medical,https://www.moneycontrol.com/tech_charts/bse/his/dms.csv,BUY,0.58,0.56
Sayaji Hotels,https://www.moneycontrol.com/tech_charts/bse/his/sh02.csv,BUY,211.45,205.0
Royale Manor,https://www.moneycontrol.com/tech_charts/bse/his/rmh.csv,BUY,12.03,11.5
Radix Ind,https://www.moneycontrol.com/tech_charts/bse/his/rp19.csv,BUY,61.7,61.1
JHS Svendgaard,https://www.moneycontrol.com/tech_charts/bse/his/jhs01.csv,BUY,9.39,9.19
Jyoti Structure,https://www.moneycontrol.com/tech_charts/bse/his/js03.csv,BUY,2.43,2.21
M.D. Inducto,https://www.moneycontrol.com/tech_charts/bse/his/mic02.csv,BUY,57.45,57.45
Scan Steels,https://www.moneycontrol.com/tech_charts/bse/his/msf.csv,BUY,17.1,17.0
Oil Country,https://www.moneycontrol.com/tech_charts/bse/his/oct.csv,BUY,4.14,4.1
Remi Edelstahl,https://www.moneycontrol.com/tech_charts/bse/his/rmi01.csv,BUY,10.47,9.98
National Steel,https://www.moneycontrol.com/tech_charts/bse/his/nsi.csv,BUY,1.54,1.43
Steelco Gujarat,https://www.moneycontrol.com/tech_charts/bse/his/sg09.csv,BUY,1.26,1.2
Ashiana Ispat,https://www.moneycontrol.com/tech_charts/bse/his/ai25.csv,BUY,5.99,5.99
PSL,https://www.moneycontrol.com/tech_charts/bse/his/psl.csv,BUY,0.33,0.32
Prakash Steelag,https://www.moneycontrol.com/tech_charts/bse/his/ps16.csv,BUY,0.2,0.19
MphasiS,https://www.moneycontrol.com/tech_charts/bse/his/bfl.csv,BUY,671.1,670.25
R Systems Intl,https://www.moneycontrol.com/tech_charts/bse/his/rsi01.csv,BUY,83.5,82.9
Majesco,https://www.moneycontrol.com/tech_charts/bse/his/m12.csv,BUY,276.65,256.3
CVL,https://www.moneycontrol.com/tech_charts/bse/his/cescv54233.csv,BUY,139.35,133.5
Onward Tech,https://www.moneycontrol.com/tech_charts/bse/his/ot.csv,BUY,47.45,44.0
Jeevan Scient,https://www.moneycontrol.com/tech_charts/bse/his/jst.csv,BUY,18.55,17.45
Megasoft,https://www.moneycontrol.com/tech_charts/bse/his/m08.csv,BUY,6.2,5.86
COSYN,https://www.moneycontrol.com/tech_charts/bse/his/css01.csv,BUY,16.95,16.25
Tranway,https://www.moneycontrol.com/tech_charts/bse/his/tt16.csv,BUY,10.15,10.1
T Spirutual,https://www.moneycontrol.com/tech_charts/bse/his/ssi10.csv,BUY,0.5,0.47
Bhagyanagar Ind,https://www.moneycontrol.com/tech_charts/bse/his/bm01.csv,BUY,14.45,14.3
RCI Industries,https://www.moneycontrol.com/tech_charts/bse/his/rit.csv,BUY,5.17,4.95
Sanghvi Movers,https://www.moneycontrol.com/tech_charts/bse/his/sm10.csv,BUY,52.15,49.7
AMD Industries,https://www.moneycontrol.com/tech_charts/bse/his/amd01.csv,BUY,11.0,10.93
Rishi Techtex,https://www.moneycontrol.com/tech_charts/bse/his/rp16.csv,BUY,16.19,14.05
Jumbo Bag,https://www.moneycontrol.com/tech_charts/bse/his/jb01.csv,BUY,6.75,6.65
Jagdamba Polyme,https://www.moneycontrol.com/tech_charts/bse/his/jp01.csv,BUY,146.7,139.75
Biopac India,https://www.moneycontrol.com/tech_charts/bse/his/bic01.csv,BUY,2.87,2.8
Satia Ind,https://www.moneycontrol.com/tech_charts/bse/his/si90.csv,BUY,72.85,72.5
Cella Space Ltd,https://www.moneycontrol.com/tech_charts/bse/his/ssp08.csv,BUY,3.28,3.13
